alpha,beta,theta_c,eta1,eta2
0.8113701286026247,0.1353674746030363,39.78635277334409,1.7285997106836284,0.03787299364936377
0.7998796567894096,0.6137801826798166,66.75165827773998,1.307617761678685,0.04869710479654638
0.6983591182115132,0.4926121189076651,74.00190934695848,1.688187148384162,0.10090002864419932
0.5531124817673302,0.7083378592113428,62.72089188894032,1.63430001581382,0.14684435506396148
0.4246334453102856,0.899684605706477,40.409135552839864,0.8115926266115444,0.04955971514306089
0.5808270447994579,0.10120468069176913,45.59370612457895,1.7734318761792085,0.09941246040723356
0.862227488247214,0.22255664898171926,42.87099629825191,2.6586388528373988,0.11301696902400254
0.6329202402806062,0.7557453181106025,17.627864246691693,1.5120074519696778,0.05462049715294656
0.8538067641895961,0.5396701349174966,72.83103794408242,1.2221416360083466,0.10960977704218389
0.8767103903840389,0.9776477123685811,52.87987844307061,1.9365829899769735,0.13658701065433695
0.7934354197127951,0.4271269110870616,41.22481660075039,0.9083177815519414,0.06889879499907335
0.6479378983151955,0.7794493077609493,73.26669303119698,1.7986118016190662,0.04515964661122027
0.6848730497759262,0.6692159586255522,11.702797486517193,2.5196926573292826,0.0797811993680989
0.8330577614876552,0.10043623979833038,67.37323509364812,2.061730029005265,0.08623661284356397
0.36426740176017514,0.5931656598671599,53.63763675935645,1.343468666321819,0.08219070862458905
0.19198112530532707,0.17803994759823832,51.602007674572235,1.6102219351279883,0.1336472977319955
0.20399228482114767,0.7945716602361945,72.01014757214803,1.4157139816847204,0.09786058787877336
0.8995676923928225,0.12376075019656267,5.501763880644049,1.8600939276078525,0.07511175987165848
0.5465947354733548,0.5651615812719999,28.612125218147654,1.5985641022191126,0.06406925046307603
0.8224402656792416,0.15723215367971682,38.17813107052871,2.994106667590442,0.1215095398745542
0.5622967558409063,0.23115311206219863,33.31733504750796,2.7638875380672094,0.029533478036982575
0.6168531025291555,0.12147044206642704,49.024855044622115,2.167709307706341,0.13168019167504594
0.38155969163064485,0.12887943917594685,69.42830791465053,1.6781975167477503,0.12947293591413675
0.40589295038157014,0.24481487845654512,32.06680852108235,1.8169082357202098,0.04161515562246998
0.7966818090109701,0.553705033979804,51.37119822367278,0.7841760346724693,0.08912758319220425
0.7319685228975842,0.41359032605706325,64.88929429710485,1.6712252803191494,0.07696725674510624
0.44679257926330396,0.26582816018947997,71.70993871766906,1.7203115662027817,0.10321190997503248
0.7119347393049547,0.9057813346529336,47.74013439101279,2.5994314576734774,0.03944449619920955
0.7866190728588912,0.6299334164065943,24.944884483750513,1.8401592437496719,0.05365670550168189
0.6068323409689524,0.31955911596081926,54.84717109715847,1.4772584186720867,0.09460824310725073
